employee,pattern_type,timestamp,location,latitude,longitude,visit_count,average_visits
Hennie Osvaldo,Late night visit,2014-01-11 03:20:01,Coffee Shack,36.0604303,24.90556693,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:02,Coffee Shack,36.06039751,24.90559431,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:03,Coffee Shack,36.06036977,24.90548795,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:05,Coffee Shack,36.06048618,24.90539831,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:11,Coffee Shack,36.0605349,24.9051592,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:15,Coffee Shack,36.06062482,24.9049721,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:19,Coffee Shack,36.06065973,24.90471343,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:21,Coffee Shack,36.06070935,24.90457462,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:23,Coffee Shack,36.06068111,24.90457684,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:28,Coffee Shack,36.06082336,24.90429026,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:32,Coffee Shack,36.0608041,24.90410638,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:33,Coffee Shack,36.06087751,24.90408848,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:34,Coffee Shack,36.06093174,24.90406084,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:35,Coffee Shack,36.06095072,24.90397713,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:36,Coffee Shack,36.06095116,24.90387478,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:38,Coffee Shack,36.06089918,24.9038692,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:40,Coffee Shack,36.06102636,24.90376072,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:44,Coffee Shack,36.0610895,24.90353567,,
Hennie Osvaldo,Late night visit,2014-01-11 03:20:46,Coffee Shack,36.06111131,24.90348611,,
